method,platform,N,d,Q,k,M,Ks,p,unroll,prefetch,topk,run_id,latency_ms,recall,index_size_mb,build_time_sec,coarse_ms,rerank_ms,cycles,instructions,cpi,l1_miss_rate,llc_miss_rate
SQ8-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,5,17.247000,1.000000,9.600768,0.034948,17.160000,0.086000,0,0,0,0,0
SQ8-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,1,17.527000,1.000000,9.600768,0.034948,17.312000,0.213000,0,0,0,0,0
SQ8-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,2,17.602000,1.000000,9.600768,0.034948,17.388000,0.213000,0,0,0,0,0
SQ8-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,3,17.554000,1.000000,9.600768,0.034948,17.336000,0.216000,0,0,0,0,0
SQ8-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,4,17.555000,1.000000,9.600768,0.034948,17.341000,0.213000,0,0,0,0,0
SQ8-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,5,17.600000,1.000000,9.600768,0.034948,17.385000,0.214000,0,0,0,0,0
SQ8-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,1,18.087000,1.000000,9.600768,0.034948,17.650000,0.436000,0,0,0,0,0
SQ8-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,2,18.073000,1.000000,9.600768,0.034948,17.640000,0.432000,0,0,0,0,0
SQ8-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,3,18.148000,1.000000,9.600768,0.034948,17.677000,0.470000,0,0,0,0,0
SQ8-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,4,17.986000,1.000000,9.600768,0.034948,17.594000,0.391000,0,0,0,0,0
SQ8-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,5,17.971000,1.000000,9.600768,0.034948,17.603000,0.366000,0,0,0,0,0
SQ8-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,1,19.271000,1.000000,9.600768,0.034948,18.366000,0.903000,0,0,0,0,0
SQ8-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,2,19.020000,1.000000,9.600768,0.034948,18.169000,0.850000,0,0,0,0,0
SQ8-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,3,18.935000,1.000000,9.600768,0.034948,18.090000,0.844000,0,0,0,0,0
SQ8-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,4,18.928000,1.000000,9.600768,0.034948,18.079000,0.848000,0,0,0,0,0
SQ8-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,5,18.915000,1.000000,9.600768,0.034948,18.066000,0.847000,0,0,0,0,0
SQ8-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,1,21.799000,1.000000,9.600768,0.034948,19.744000,2.054000,0,0,0,0,0
