method,family,M,p,unroll,prefetch,block,topk,latency_ms,recall,encode_ms,lut_ms,scan_ms,select_ms,rerank_ms,build_time_sec,index_size_mb
FastScan-ADC-M16-p1500-b64,fsadc,16,1500,1,0,64,u8lut-block,2.114219,1.000000,0.000000,0.032180,0.904930,0.912010,0.262290,1.797589,3.298816
FastScan-ADC-M16-p1500-b128,fsadc,16,1500,1,0,128,u8lut-block,2.190134,1.000000,0.000000,0.035610,0.916940,0.960730,0.273110,1.851949,3.299840
FastScan-ADC-M16-p1500-b128,fsadc,16,1500,1,0,128,u8lut-block,2.108757,1.000000,0.000000,0.032230,0.867420,0.925130,0.280460,1.875766,3.299840
FastScan-ADC-M16-p1500-b128,fsadc,16,1500,1,0,128,u8lut-block,2.083605,1.000000,0.000000,0.032530,0.868140,0.917330,0.261520,1.772758,3.299840
FastScan-ADC-M16-p2000-b16,fsadc,16,2000,1,0,16,u8lut-block,2.485669,1.000000,0.000000,0.034880,1.161260,0.935590,0.349310,1.801700,3.298304
FastScan-ADC-M16-p2000-b16,fsadc,16,2000,1,0,16,u8lut-block,2.510072,1.000000,0.000000,0.033540,1.158340,0.951470,0.363520,1.866595,3.298304
FastScan-ADC-M16-p2000-b16,fsadc,16,2000,1,0,16,u8lut-block,2.542814,1.000000,0.000000,0.034790,1.206920,0.960210,0.336510,1.873401,3.298304
FastScan-ADC-M16-p2000-b32,fsadc,16,2000,1,0,32,u8lut-block,2.359776,1.000000,0.000000,0.036830,0.951120,0.991060,0.377520,1.952529,3.298304
FastScan-ADC-M16-p2000-b32,fsadc,16,2000,1,0,32,u8lut-block,2.525579,1.000000,0.000000,0.039230,1.034580,1.042750,0.404670,2.049453,3.298304
FastScan-ADC-M16-p2000-b32,fsadc,16,2000,1,0,32,u8lut-block,2.820664,1.000000,0.000000,0.042880,1.141920,1.183060,0.446520,2.049947,3.298304
FastScan-ADC-M16-p2000-b64,fsadc,16,2000,1,0,64,u8lut-block,6.802499,1.000000,0.000000,0.095190,3.271520,2.421050,1.003130,6.393455,3.298816
FastScan-ADC-M16-p2000-b64,fsadc,16,2000,1,0,64,u8lut-block,6.684668,1.000000,0.000000,0.093230,3.240780,2.472710,0.866170,6.547213,3.298816
FastScan-ADC-M16-p2000-b64,fsadc,16,2000,1,0,64,u8lut-block,6.571467,1.000000,0.000000,0.088370,3.142340,2.389060,0.939130,6.864552,3.298816
FastScan-ADC-M16-p2000-b128,fsadc,16,2000,1,0,128,u8lut-block,6.654493,1.000000,0.000000,0.096400,3.066460,2.470680,1.008610,7.069914,3.299840
FastScan-ADC-M16-p2000-b128,fsadc,16,2000,1,0,128,u8lut-block,6.380446,1.000000,0.000000,0.090630,2.972260,2.372320,0.934210,7.305633,3.299840
FastScan-ADC-M16-p2000-b128,fsadc,16,2000,1,0,128,u8lut-block,6.268187,1.000000,0.000000,0.086470,2.908850,2.326380,0.935630,7.211923,3.299840
